Filename,Sentences +2/-2
113404685_1.txt,.. An official of the Congress of Industrial Organizations asserted however that without proper planning automation could become an evil threatening the entire social order.Both spoke at I a closing session of the National Conference of Social Work s annual forum..
115016302_1.txt,and to set goals for labor management govemmentand the public.. Automation presents a major challenge as well as a .bright hope to our country arid state in the critical era in which we live the Governor said.The conference is being.
113753618_1.txt,Despite this increase the average mine price of coal had risen by less than 1 a ton the organization reported.. Increased investment in automation has thus absorbed over two thirds of these mounting production costs a statement declared. The consumer s coal dollar still speaks with real authority.Since 1950 the index of wholesale prices other than farm products and foods has increased 16.6 per cent as of August 1956 The F. O.
113477562_1.txt,AUTOMATIONISSUE TECHNICAL SOCIAL Continued From Page 1 cent a year while the working population is increasing by only 1.8 per cent. It would be humanly impossible to increase individual output at that pace indefinitely without using automatically controlled machinery they say.. Labor s interest in the problem was shown when the Congress of Industrial Organizations organized a national automation conference at Washington on Thursday.Two of the experts who were called upon urged a speed up in automation.A. third said it would be foolish to resist.the advances of the machine agef but warned that serious short term dislocations could result unless proper precautions were taken.
113616572_1.txt,For others the council adcted it was the key to utopia ana with nuclear energy would bring an age of plenty.. The council felt that the shortage of British scientists and of skilled managerial and technical manpower as well as of equipment and materials such as steel would retard what otherwise might be a widespread development of automation.Moderate Pace Advocated What the unions would like to see the council continued would be the introduction of automation at a pace neither too fast nor too slow.If it was too fast it might wreck the present industrial relations machinery and if too slow it might jeopardize industry s competitive efficiency and in that way cause unemployment.
114010386_1.txt,The union represents 98 per cent of the employes in the industry.. The most unusual aspect of this union is its eager acceptance of automation.While other unions often question the effect that new processes may have on employment the lithographers know it means more work for them.Edward Swayduck president of the New York local explained yesterday that his union more than any other had profited by the advances of technology in its field.
113477562_1.txt,The very word in many quarters is akin to scab or goon. The past week saw two major attempts at dispelling this attitude and at the same time advancing the long sought after automatic factory.. The Westinghouse Electric Corporation showed on Thursday a new director system that company officials described as the nervous system of automatic equipment. It operates much like a monitor or human supervisor in the direction of complex machinery.The new system however delivers ultra reliable controls and yet has no mSving parts using instead special magnetic amplifiers and transistors..
114776363_1.txt,The employers haev demanded arbitration of the question and the union has declared that a ruling against attitude would in effect rewrite its contracts...i This issue constitutes only one phase of the over all question of containerization mech .arization and automation that is expected to be the overriding theme of the new contract negotiations. Today s session also adopted zrjresolution amending the dis trict s constitution to forbid is u.ance of any promissory notes lejjcept to cover bona fideobliga Ions of the district with notes for less than 1 000 to be signed by both the president and secretary treasurer and notes or a series of notes for more than . 1 000 to be approved by the fourteen member executive jpard.Brenner Case Cited y yrhe amendment reflected tCQhcern in the district over allegations that the union president Capt.
114786404_1.txt,It was the mediators who devised the wage package. ..Unless the union brings its T views on automation into focus f by Monday there is likely to be further delay in basic negotia l tions. Several union officials includ ing CapL William Bradley president and Harry R. Hasselgren secretary treasurer plan to go to New Orleans next week for a meeting of the union s executive .aboard.It is a regularly sched G.niled session of the organiza lion s top leaders from Cana dian Sopth Atlantic and Gulf areas.
114590349_1.txt,Technical sessions covering the functions of electronic systems and devices the cost of installing controls the economics I of highway operation and insurance problems also are planned..A searching look will be taken at the psychological and medical effects on the driver of electronic controls and at the legal questions arising from automation of driving functions. The conference Professor Malfetti said is recognition of the vast importance of the traffic accident problem in our national life and of new scientific developments that bear promise of solutions in the foreseeable future. Recommendations of the conference will be issued by the institute which was established last year with a two year grant of 50 000 from the American Automobile Association Foundation.Reproduced with permission of the copyright owner.
113564133_1.txt,..According to Raymond P. Genereaux an engineer with E. I. du Pont de Nemours Co. prudence and caution must govern management in adding automatic control and instrumentation to modern chemical plants. ..
113311132_1.txt,Today the plant s 12 000 workers more than half women produce 60 000 000 bearings annually valued at 540 000 000 to 550 000 000 rubles 135 000 000 to 137 500 000 ..According to Vsevolod S. Reti voy factory director a new fully automatic production line went into operation three months ago after four years of preparation.Two similar lines are under construction.He said thirty more automatic production lines would be built at the plant during the next five years.
113776017_1.txt,introduction of certain structural me article appeared in the reorganization..After mechani student paper Poprostu.It said zation and automation output that there was chaos in the would be increased further the cooperatives and that minor in minister had said dustries not only had failed to Why is the Minister unwill develop in the last ten years ing to take this step the news but also had retrogressed.paper asked. Because he sees The article blamed the Govern the threat of unemployment. ment for inefficiency and for a Poprostu said the author of tremendous waste of goods an earlier article found that Noting that the six year eco nearly 500 000 persons in Poland nomic plan expired six months were looking for work.
114219157_1.txt,The cards will be junked and the bureau will be freed of the necessity to make about 112 000 000 new ones each year..Another result of this process of automation will be the abandonment of 100 electric business machines which have been running on two shifts.These .inelude punch card collators sorters interpreters tabulators and reproducers.Three hundred jobs will be eliminated.
115118413_1.txt,Several members of the ten man delegation sent by the local to negotiate contracts in San Francisco last month reportedly opposed Mr. Kuvakas and urged longshoremen to ratify the pact with the Pacific Maritime Association..Association employers and the union agreed Oct. 10 on terms providing a 27 500 000 five year fund to indemnify men for lost work opportunity arising from automation.Under it the employers would contribute in return for the elimination of featherbedding and make work about 5 000 000 annually over five and a half years.Mr. Kuvakas charged that the 5 000 000 which would go into a retirement and benefit fund would not be enough money to pay the promised benefits for retirement deaths ahd disabilities. It s not enough money for what the longshoremen are giving up he told the meeting.
113815261_1.txt,We wonder what would have happened if real money had been used..AUTOMATION Automation may be a blessing in the factory but Dr. Lawrence C. Powell librarian of the University of California has no use for it in the library.He frowns on would be housekeepers analysis probers and planners who long to deemphasize books mechanize the library and change its name to materials center. He is worried about what are called bibliographic control contact points mass media decision making processes retrieval of information and the dissemination of knowledge by machine and holds that nothing better than the book has yet been invented to record and transmit knowledge.CANCER Dr. Wendell M. Stanley Nobel laureate and director of the University of California s Virus Laboratory told the Third National Cancer Conference that the time has come when we should assume that viruses are responsible for most if not all kinds of cancer including cancer in man. This conclusion is based on the history of virus caused tumors in animals a history that goes back to 1911.
113695060_1.txt,Automatic machinery has been with us many years but automation though it has been developing for two centuries is something new..Automation is an invention a system of production a technique a combination of devices that produces a new result Before it arrived skill was transferred to the machine. Now we behold something like the transference of intelligence as well.As of old a series of automatics turn out the individual parts of a vacuum cleaner a washing machine anything that is produced continuously.
114121601_1.txt,rate is expected to continue this year despite work which ham cut some four track lines to two through centralized traffio controls..Automation Used The Central has conceded reduced maintenance crews ai sertedly in part because of increased automation.For instance a spectrometer is now used to check oil samples to determine the condition of a Diesel engine holding down on periodio removals from service.
113695060_1.txt,3.75..By WALDEMAR KAEMPFFERT HALF a dozen experts recently delivered lectures at ord on automation an ugly word which came out of a Ford Motor Company plant and which has grown in the language like a verbal weed.Automatic machinery has been with us many years but automation though it has been developing for two centuries is something new..
114199086_1.txt,..Demand for automatic transmissions power steering radios and other automobile luxuries is at a new high according to Clare E. Briggs vice president in charge of sales for the Chrysler Corporation s Chrysler division .Reproduced with permission of the copyright owner.Further reproduction prohibited without permission.
114664135_1.txt,..flMissiles Jets and Automation Fund s July 31 net assets of 4 847 918 were 79.6 per cent1 higher than the 2 699 255 on Aug. 7 1958 date of the original investment with the per share value of 13.14 up 43.6 per cent...
113374121_1.txt,Ted F. Silvey economist of the Congress of Industrial Organizations said automation could have almost as great an impact as war on our social and economic institutions. He cautioned that a social subsidy might be needed to help workers displaced by the new process. .H. F. Itneeh president of the Safety Car Heating and Lighting Company of New Haven observed that labor and management would have increased responsibilities in the age of automation.Predictions of widespread unemployment resulting from automation are exaggerated he said.Reproduced with permission of the copyright owner.
112883514_1.txt,..Harris Upham Co. will list in a June Pocket Guide twenty five companies that have benefited from automation...
113529232_1.txt,Management has taken a more realistic approach toward office automation in the last year he asserted..He listed these four essentials that should precede adoption of office automation a feasibility study developing and utilizing new forms of management data reconciling centralized data processing and decentralized plant operation and conditioning employes to the impact of office automation.Mr. Wilson spoke at the American Management Association s second annual electronics conference and exhibit at the Commodore Hotel.More than 1 000 business executives are attending the sessions which will continue through tomorrow.
113529232_1.txt,AUTOMATION SAID TO REQUIRE STUDY Extensive Preliminary Steps Held Necessary in Shift to Electronic Office Processing of office operations through electronic data machines is necessary but the move entails extensive preliminary planning Alfred M. Wilson executive vice president of the Min rteap olis Honeywell Regulator Company cautioned yesterday..Management has taken a more realistic approach toward office automation in the last year he asserted..He listed these four essentials that should precede adoption of office automation a feasibility study developing and utilizing new forms of management data reconciling centralized data processing and decentralized plant operation and conditioning employes to the impact of office automation.
113226043_1.txt,..of automatic worker displacing guideposts for future economic electronic devices in major in growth no discussion of the dustries. probable temporary dislocations The head of the Congress of arising from automation no prepIndustrial Organizations told thejaration of the Congress and the Joint Congressional Committee people to meet the.new tech on the Economic Report that nology and to use it for the bene rear view mirror in its.
113676774_1.txt,This consists of a two unit motel fully furnished and an eighty six seat diner completely equipped that can be moved from one location to another..Other new machines aryl products include a device for washing pots and pans designed Ito reduce labor charges made by the Food Machinery Corporation an automatic ice cubef that produces 300 pounds .of fresh cubes daily manufactured by the Cold Corporation of America and an improved cash register designed to keep a more accurate record of patrons checks made by the National Cash Register Company..
114915692_1.txt,..qA Univac II data automation system capable of selecting nation wide consumer markets by name and address according to socio economic factors was introduced yesterday at the Westbury L. I. plant of O. E. McIntyre Inc.The company is engaged in mail marketing..
114464532_1.txt,..qThe first issue of Management and Business Automation will appear in January.It will be put out by the Office Appliances Publishing Company..
113564133_1.txt,Automatic control will stimulate employment he added..R. F. C. Simpson an engineer with British Petroleum Ltd. formerly the Anglo Iranian Oil Company said that British industrialists were proceeding cautiously in introducing automatic control.He sajd he doubted that machines would soon be capable of making decisions that are how made by employes in the petroleum industry.Dr. Douglas H. Ewing of the Radio Corporation of America declared that the growth of large scale production in automatic factories will stimulate a revival of small .
113584149_1.txt,..Richard Rimbach director of Automation Shows which are run each year says in his weekly newsletter Automation Trends that the military now spends about 2 500 000 000 a year for electronic equipment.He says this is expected to rise to 3 000 000 000 by 1960 and 4 000 000 000 by 1965. ..
114682976_1.txt,Special to The New York Time . .SAN JUAN P. R. Feb. 25 The merged labor federation rer ported today that its unions had organized 1 000 000 nonunion workers in the last three years but that the recession and automation had more than offset the gain. The federation s figures pro vided the first comprehensive measure of the impact of pro ductivity unemployment .dh union size.This is joblessness caused by technological advances that enable industry to produce more with less manpower.
113951604_1.txt,..Shipments of a record 2 773 600 automatic gas water heaters In 1956 was announced by the Gas Appliance Manufacturers Association.... As a sub contract from the Utica Bend Corporation of South Bend Ind. Fruehauf Trailer Company has received a 1 300 000 order for more than 600 gasoline tanks 1 200 gallon capacity to be used by the Armed Forces..
113335987_1.txt,Employers contend that pay guaranies will discourage companies from putting new workers on the payroll impose a crushing financial obligation on industry and check the speed of technological change over..The basic fears aroused by automation are not new.A century and a half ago the advent of the industrial revolution stirred European workers to such excesses of anxiety that they hurled wooden shoes into auto Reproduced with permission of the copyright owner.Further reproduction prohibited without permission.
113564133_1.txt,These will cater to individuals who do not want the mass produced products he said..The chairman of the symposium was Dr. Robert J. Jeffries of Daystrom Iric. the new president of the Instrument Society of America sponsors of the international meeting. At a luncheon session Representative Wright Patman Democrat of Texas reviewed the findings of the hearings on the effects of automation held by the Joint Subcommittee on Economic Stabilization. He said he did not believe that automation would come so fast that it would have overwhelming effects en the nation s economy.Reproduced with permission of the copyright owner.
113741978_1.txt,It said automation was inevitable and might result in better living standards and increased leisure..The Congress called for full consultations between employers and unions where automation was contemplated.It said the unions should try to avoid layoffs to maintain the level of workers earnings and to seek lower prices for the products i affected.By a margin of nearly 4 to 1 the delegates rejected a motion urging the creation of a Government planning board to handle the problems connected with the extension of automation.
113954715_1.txt,..The National Association of Broadcast Employes and Technicians has been talking over the possible effects of automation in the TV industry with N. B. C. Enright..A survey of the four telecasts reveals that they have paid out a total of 3 330 000 and eighteen Cadillacs and have resulted in a. number of talent contracts for TV work.
114936470_1.txt,..The problem of automation j must be faced with realism and with understanding.To help develop a clearer understanding of the scope of this problem and to establish objectives toward which all parties in interest may work I shall convene a working conference of representatives from labor management the general public and government.In addition I am asking appropriate state officials to provide technical assistance to labor and management in planning technological changes to catalogue the skills necessary to a dynamic economy and to develop programs for apprentice training and the retaining of workers in these skills.
113809819_1.txt,Automation Is Growing In the electrical instruments category comprising meters indicating and recording equipment and testing devices sales advanced to 345 389 000 from 157 453 000..These gains provide an index to the tremendous growth of automatic controls or automation the substitution of mechanical means for human labor and supervision.Control instruments today have thousands of uses from automatic pilots for jet aircraft and guided missiles to simple thermostats regulating the heat in a house.One of the most elaborate installations of this type is an electronic control panel in Continued on Page 36 Column 3 WHITE HOUSE WEATHER Advances in instrumentation field are typified by this electronic control panel which regulates temperature and humidity in Presidential mansion.
113344979_1.txt,..Thomas A. Patterson Jr. formerly an account executive with Ketchum MacLeod Grove Pittsburgh appointed advertising manager of Fischer Porter Company Hatboro Pa. which makes process instrumentation and automation systems.People John Boyd and Gabriel Ondeck.assistant creative directors of Compton Advertising Inc. have been elected vice presidents.
115094382_1.txt,..To provide a material basis for the transition of the socialist countries to communism it is indispensable to achieve a high level of production through the use of the latest techniques electrification of the national economy and mechanization and automation of production without which it is impossible to provide the abundance of consumer goods required by a communist society.On this basis it is necessary to develop communist social relations vigorously promote the political consciousness of the people and educate the members of the new communist society.The socialist camp is a social economic and political community of free and sovereign peoples united by the close bonds of international socialist solidarity by common interests and objectives and following the path of socialism and communism.
113064243_1.txt,..Under the caption Let Robot Do It Troster Singer Co. declares that the notion that automation is only the darling of big business whose products lend themselves to 1 volume production 2 stability of type of product 3 and high labor cost is due for a change.Our experts tell us that future methods will adapt automation to small business and to varying types of products by merely changing the sets on gauges. Reproduced with permission of the copyright owner.Further reproduction prohibited without permission.
113167275_1.txt,Special to The New York Time ..WASHINGTON March 16 An expanding economy will provide jobs for workers displaced by automatic machines President Eisenhower said today. Expressing the view that fears concerning automation the replacement of workers by industrial devices are exaggerated the President said that similar fears have plagued workers for 150 years and had always proved groundless.One of the great things that seems to have happened over the generations he said has been that as the nation finds ways to do more work with fewer manhours there always springs up more work to do.
